"aircraft_id","model","capacity","manufacturer"
1,"Airbus A320",180,"Airbus"
2,"Airbus A321",220,"Airbus"
3,"Airbus A330",270,"Airbus"
4,"Airbus A350",300,"Airbus"
5,"Airbus A380",500,"Airbus"
6,"Boeing 737-800",189,"Boeing"
7,"Boeing 737 MAX",200,"Boeing"
8,"Boeing 747-8",410,"Boeing"
9,"Boeing 767",250,"Boeing"
10,"Boeing 777-300ER",396,"Boeing"
11,"Boeing 787-9",296,"Boeing"
12,"ATR 72",70,"ATR"
13,"Bombardier Q400",78,"Bombardier"
14,"Embraer E190",100,"Embraer"
15,"Embraer E195",120,"Embraer"
16,"Cessna 208 Caravan",9,"Cessna"
17,"Gulfstream G650",18,"Gulfstream"
18,"Dassault Falcon 7X",14,"Dassault"
19,"Bombardier CRJ900",90,"Bombardier"
20,"Airbus A310",280,"Airbus"
21,"Boeing 727",150,"Boeing"
22,"McDonnell Douglas MD-11",293,"McDonnell Douglas"
23,"Boeing 757",200,"Boeing"
24,"Lockheed L-1011",250,"Lockheed"
25,"Antonov An-225",250,"Antonov"
26,"Comac C919",158,"Comac"
27,"Sukhoi Superjet 100",108,"Sukhoi"
28,"Bombardier Global 6000",19,"Bombardier"
29,"Beechcraft 1900D",19,"Beechcraft"
30,"Pilatus PC-12",9,"Pilatus"
