"airline_id","airline_name","country"
1,"Air India","India"
2,"IndiGo","India"
3,"SpiceJet","India"
4,"Vistara","India"
5,"Go First","India"
6,"AirAsia India","India"
7,"Alliance Air","India"
8,"Emirates","UAE"
9,"Qatar Airways","Qatar"
10,"Singapore Airlines","Singapore"
11,"Lufthansa","Germany"
12,"British Airways","UK"
13,"American Airlines","USA"
14,"United Airlines","USA"
15,"Delta Airlines","USA"
16,"Turkish Airlines","Turkey"
17,"Air France","France"
18,"KLM Royal Dutch","Netherlands"
19,"Etihad Airways","UAE"
20,"Cathay Pacific","Hong Kong"
21,"Thai Airways","Thailand"
22,"Japan Airlines","Japan"
23,"Malaysia Airlines","Malaysia"
24,"SriLankan Airlines","Sri Lanka"
25,"China Southern","China"
26,"Ethiopian Airlines","Ethiopia"
27,"Saudia","Saudi Arabia"
28,"Air Canada","Canada"
29,"Qantas","Australia"
30,"Swiss International","Switzerland"
