"airport_id","airport_name","city","country"
1,"Indira Gandhi International Airport","Delhi","India"
2,"Chhatrapati Shivaji Maharaj International Airport","Mumbai","India"
3,"Kempegowda International Airport","Bangalore","India"
4,"Rajiv Gandhi International Airport","Hyderabad","India"
5,"Netaji Subhas Chandra Bose International Airport","Kolkata","India"
6,"Sardar Vallabhbhai Patel International Airport","Ahmedabad","India"
7,"Cochin International Airport","Kochi","India"
8,"Chennai International Airport","Chennai","India"
9,"Pune Airport","Pune","India"
10,"Goa International Airport","Goa","India"
11,"Dubai International Airport","Dubai","UAE"
12,"Doha Hamad International Airport","Doha","Qatar"
13,"Singapore Changi Airport","Singapore","Singapore"
14,"Heathrow Airport","London","UK"
15,"Frankfurt Airport","Frankfurt","Germany"
16,"Charles de Gaulle Airport","Paris","France"
17,"Schiphol Airport","Amsterdam","Netherlands"
18,"John F. Kennedy International Airport","New York","USA"
19,"Los Angeles International Airport","Los Angeles","USA"
20,"Toronto Pearson International Airport","Toronto","Canada"
21,"Sydney Kingsford Smith Airport","Sydney","Australia"
22,"Zurich Airport","Zurich","Switzerland"
23,"Beijing Capital International Airport","Beijing","China"
24,"Tokyo Narita Airport","Tokyo","Japan"
25,"Kuala Lumpur International Airport","Kuala Lumpur","Malaysia"
26,"Colombo Bandaranaike International Airport","Colombo","Sri Lanka"
27,"Bangkok Suvarnabhumi Airport","Bangkok","Thailand"
28,"Riyadh King Khalid International Airport","Riyadh","Saudi Arabia"
29,"Addis Ababa Bole International Airport","Addis Ababa","Ethiopia"
30,"Doha Al Udeid Airbase","Doha","Qatar"
